iter	TotalF1	MultiClass
0	0.6363272203	1.075361428
1	0.6197317941	1.054766846
2	0.6259907557	1.038561216
3	0.6155871498	1.021244171
4	0.6119330621	1.007250333
5	0.6074587074	0.9921131085
6	0.6137596687	0.9775420037
7	0.6108958971	0.9662593257
8	0.6132239269	0.9533628603
9	0.6117543612	0.9418338278
10	0.6147527493	0.9297181616
11	0.611171184	0.919312636
12	0.6122777793	0.9079411253
13	0.6122008569	0.8982703376
14	0.6116247219	0.8897761621
15	0.6146395299	0.880391396
16	0.6125558694	0.8724485904
17	0.6118034044	0.8667205889
18	0.6151799579	0.8611998517
19	0.6139133845	0.8540956928
20	0.6143370348	0.8474668469
21	0.6186928728	0.8405775933
22	0.6148687334	0.836102777
23	0.616477058	0.8310160905
24	0.6176050781	0.8262418484
25	0.6212515774	0.8218914445
26	0.6210868759	0.8159383763
27	0.6217895579	0.8114518389
28	0.6242467346	0.8054620872
29	0.6259074558	0.8003969467
30	0.6256847422	0.7953515744
31	0.623767122	0.7901307533
32	0.6259576811	0.7872803079
33	0.6284655216	0.7828819434
34	0.6277997318	0.7782510733
35	0.6268342051	0.775183693
36	0.6268890826	0.7731856538
37	0.6262292844	0.7689736438
38	0.6271580941	0.7659857119
39	0.6262490177	0.7622553144
40	0.6286109174	0.7593430305
41	0.6299103593	0.7561095961
42	0.6290615537	0.7527931087
43	0.6355740401	0.7502972953
44	0.634869546	0.7465397733
45	0.6352185972	0.744653089
46	0.636562956	0.7424610633
47	0.636556047	0.7392358707
48	0.6381732366	0.7363806417
49	0.638503019	0.7340435496
50	0.6374262557	0.7315011917
51	0.6386850289	0.7296825438
52	0.6402072458	0.727989703
53	0.6382829131	0.7256981801
54	0.6392926206	0.7240236231
55	0.6405905306	0.7221075229
56	0.6402231784	0.7198316566
57	0.6398326601	0.7184705396
58	0.6404934125	0.7159547343
59	0.6413928926	0.7154878862
60	0.6416334281	0.7139373397
61	0.641201471	0.7120861343
62	0.6408812254	0.7109280598
63	0.6418031768	0.709263768
64	0.6433506197	0.708355983
65	0.6426226737	0.706385279
66	0.6458740257	0.7049543297
67	0.6465422724	0.7033141955
68	0.6461577079	0.7018181579
69	0.6450451719	0.7007360022
70	0.6428174169	0.6993673519
71	0.6460297386	0.6983610466
72	0.6470764933	0.6978433156
73	0.6482252487	0.6963447703
74	0.6488506188	0.6949751592
75	0.6501542143	0.6937219591
76	0.6527302443	0.6925220281
77	0.6533604698	0.6911260851
78	0.65425756	0.6902482827
79	0.6526380414	0.6895576146
80	0.6548113929	0.6884828186
81	0.6555731824	0.687656143
82	0.6573480264	0.6864153596
83	0.6573480264	0.6863668528
84	0.6561786784	0.6858659808
85	0.6571148851	0.6847130433
86	0.6569987775	0.6842789226
87	0.657755968	0.6838879545
88	0.6590300971	0.6828064799
89	0.6590337965	0.6814876977
90	0.6588302938	0.6804350295
