iter	Passed	Remaining
0	69	55455
1	72	28875
2	75	20190
3	78	15719
4	81	13037
5	84	11245
6	87	9921
7	90	8968
8	93	8249
9	96	7639
10	99	7166
11	102	6747
12	106	6419
13	109	6127
14	112	5865
15	114	5623
16	117	5400
17	119	5210
18	123	5084
19	126	4936
20	129	4794
21	132	4681
22	134	4552
23	137	4443
24	140	4357
25	142	4252
26	145	4162
27	148	4098
28	151	4020
29	153	3945
30	156	3887
31	159	3834
32	162	3774
33	165	3737
34	169	3704
35	172	3656
36	174	3604
37	177	3556
38	180	3515
39	182	3473
40	185	3432
41	187	3392
42	190	3360
43	193	3320
44	196	3289
45	198	3249
46	201	3220
47	203	3188
48	206	3159
49	208	3124
50	210	3097
51	213	3073
52	216	3046
53	218	3018
54	221	3000
55	224	2987
56	227	2964
57	230	2948
58	233	2927
59	235	2905
60	238	2888
61	242	2886
62	245	2868
63	248	2853
64	250	2831
65	253	2813
66	256	2802
67	258	2787
68	261	2773
69	264	2757
70	267	2742
71	269	2729
72	273	2728
73	276	2712
74	279	2700
75	281	2686
76	285	2679
77	288	2666
78	290	2652
79	292	2636
80	295	2625
81	298	2613
82	301	2601
83	302	2577
84	305	2568
85	307	2556
86	315	2586
87	320	2592
88	323	2583
89	328	2589
90	331	2580
91	334	2573
92	338	2572
93	341	2565
94	344	2557
95	347	2546
96	349	2535
97	353	2529
98	355	2519
99	358	2510
100	361	2500
101	363	2490
102	366	2481
103	370	2477
104	372	2466
105	375	2458
106	377	2448
107	380	2438
108	383	2432
109	386	2424
110	389	2415
111	392	2409
112	394	2400
113	397	2391
114	400	2384
115	403	2378
116	406	2370
117	408	2363
118	411	2355
119	414	2346
120	417	2340
121	419	2331
122	422	2323
123	424	2316
124	427	2308
125	429	2299
126	432	2292
127	435	2285
128	437	2276
129	440	2269
130	442	2261
131	445	2253
132	447	2245
133	450	2239
134	453	2231
135	455	2223
136	458	2218
137	460	2211
138	463	2203
139	466	2198
140	468	2191
141	471	2184
142	473	2177
143	476	2170
144	478	2163
145	481	2157
146	484	2152
147	486	2145
148	489	2139
149	492	2135
150	496	2133
151	499	2129
152	502	2123
153	504	2117
154	507	2112
155	510	2107
156	513	2102
157	515	2095
158	518	2091
159	521	2084
160	524	2081
161	527	2078
162	532	2079
163	535	2078
164	541	2082
165	545	2081
166	550	2087
167	560	2107
168	566	2116
169	571	2118
170	574	2114
171	578	2111
172	587	2128
173	592	2133
174	600	2145
175	605	2147
176	610	2148
177	615	2150
178	630	2187
179	634	2185
180	640	2190
181	645	2191
182	650	2193
183	656	2196
184	660	2194
185	663	2188
186	666	2183
187	669	2178
188	672	2174
189	677	2176
190	682	2176
191	686	2175
192	691	2176
193	696	2174
194	699	2169
195	701	2162
196	704	2155
197	706	2149
198	709	2142
199	712	2136
200	715	2130
201	718	2126
202	721	2120
203	724	2117
204	728	2114
205	731	2109
206	734	2103
207	736	2097
208	739	2091
209	741	2084
210	744	2078
211	747	2072
212	749	2066
213	752	2060
214	755	2054
215	758	2050
216	761	2045
217	763	2039
218	766	2033
219	768	2026
220	771	2020
221	773	2014
222	776	2008
223	778	2001
224	780	1995
225	783	1989
226	785	1983
227	789	1979
228	792	1974
229	794	1969
230	797	1963
231	799	1957
232	802	1951
233	804	1946
234	807	1941
235	809	1935
236	812	1929
237	814	1923
238	817	1919
239	820	1914
240	823	1910
241	826	1904
242	828	1898
243	830	1893
244	833	1887
245	835	1882
246	838	1876
247	840	1871
248	843	1865
249	845	1859
250	848	1855
251	851	1851
252	854	1846
253	856	1841
254	859	1836
255	861	1831
256	864	1826
257	867	1822
258	869	1817
259	872	1812
260	875	1807
261	878	1803
262	880	1798
263	884	1794
264	886	1790
265	889	1785
266	891	1780
267	894	1775
268	896	1769
269	898	1764
270	901	1760
271	904	1755
272	906	1750
273	909	1745
274	911	1740
275	915	1737
276	917	1733
277	920	1728
278	923	1723
279	925	1718
280	927	1713
281	930	1708
282	933	1704
283	935	1699
284	937	1694
285	940	1690
286	943	1686
287	946	1682
288	949	1679
289	952	1674
290	954	1669
291	957	1665
292	959	1660
293	962	1655
294	964	1651
295	967	1647
296	969	1642
297	972	1638
298	975	1634
299	978	1630
300	980	1626
301	983	1621
302	985	1617
303	988	1612
304	990	1607
305	993	1603
306	995	1598
307	998	1594
308	1000	1589
309	1003	1586
310	1007	1583
311	1010	1580
312	1012	1576
313	1015	1571
314	1018	1567
315	1020	1563
316	1022	1558
317	1025	1554
318	1027	1549
319	1031	1546
320	1034	1543
321	1037	1540
322	1041	1537
323	1044	1533
324	1047	1530
325	1049	1525
326	1052	1521
327	1054	1517
328	1056	1512
329	1059	1508
330	1061	1504
331	1064	1500
332	1066	1496
333	1069	1492
334	1072	1488
335	1075	1484
336	1078	1481
337	1080	1477
338	1083	1473
339	1086	1469
340	1088	1465
341	1090	1460
342	1093	1456
343	1095	1452
344	1098	1448
345	1100	1444
346	1104	1441
347	1106	1437
348	1109	1433
349	1111	1429
350	1113	1424
351	1116	1420
352	1118	1416
353	1120	1412
354	1123	1408
355	1125	1404
356	1128	1399
357	1130	1395
358	1133	1392
359	1136	1388
360	1138	1384
361	1141	1380
362	1143	1376
363	1146	1372
364	1149	1369
365	1151	1366
366	1154	1361
367	1156	1358
368	1159	1354
369	1161	1350
370	1163	1345
371	1166	1342
372	1169	1338
373	1171	1334
374	1174	1331
375	1177	1327
376	1179	1323
377	1182	1320
378	1185	1316
379	1187	1312
380	1190	1308
381	1192	1305
382	1195	1301
383	1197	1297
384	1200	1293
385	1202	1290
386	1205	1286
387	1207	1282
388	1211	1279
389	1213	1275
390	1216	1272
391	1218	1268
392	1220	1264
393	1223	1260
394	1225	1256
395	1228	1253
396	1231	1250
397	1234	1247
398	1237	1243
399	1240	1240
400	1243	1237
401	1246	1233
402	1248	1230
403	1251	1227
404	1254	1223
405	1256	1219
406	1259	1216
407	1261	1212
408	1264	1209
409	1267	1205
410	1269	1201
411	1272	1197
412	1274	1194
413	1277	1191
414	1280	1188
415	1283	1184
416	1285	1180
417	1288	1177
418	1291	1174
419	1294	1170
420	1296	1167
421	1299	1164
422	1302	1160
423	1304	1157
424	1308	1154
425	1311	1150
426	1313	1147
427	1316	1144
428	1319	1140
429	1321	1137
430	1324	1134
431	1327	1130
432	1330	1127
433	1332	1124
434	1335	1120
435	1338	1117
436	1342	1114
437	1345	1111
438	1348	1108
439	1350	1105
440	1353	1101
441	1355	1098
442	1358	1094
443	1361	1091
444	1363	1087
445	1365	1083
446	1368	1080
447	1371	1077
448	1375	1075
449	1378	1071
450	1380	1068
451	1383	1064
452	1386	1061
453	1389	1059
454	1392	1055
455	1395	1052
456	1398	1049
457	1400	1046
458	1403	1042
459	1406	1039
460	1408	1035
461	1411	1032
462	1413	1029
463	1416	1025
464	1418	1022
465	1421	1018
466	1423	1015
467	1426	1012
468	1429	1008
469	1431	1005
470	1434	1001
471	1436	998
472	1439	995
473	1442	992
474	1445	988
475	1448	985
476	1450	982
477	1453	979
478	1456	976
479	1459	973
480	1463	970
481	1467	968
482	1470	964
483	1473	961
484	1476	958
485	1479	955
486	1481	952
487	1484	948
488	1487	945
489	1489	942
490	1492	939
491	1495	936
492	1497	932
493	1500	929
494	1502	926
495	1505	922
496	1508	919
497	1510	916
498	1513	912
499	1515	909
500	1518	906
501	1521	903
502	1524	900
503	1526	896
504	1529	893
505	1531	890
506	1534	886
507	1536	883
508	1539	879
509	1541	876
510	1544	873
511	1546	869
512	1549	866
513	1551	863
514	1554	860
515	1557	857
516	1560	854
517	1563	850
518	1566	848
519	1568	844
520	1571	841
521	1574	838
522	1576	835
523	1579	832
524	1582	828
525	1584	825
526	1587	822
527	1589	819
528	1592	815
529	1595	812
530	1598	809
531	1600	806
532	1603	803
533	1606	800
534	1608	796
535	1610	793
536	1613	790
537	1615	786
538	1618	783
539	1620	780
540	1623	777
541	1626	774
542	1628	770
543	1631	767
544	1634	764
545	1636	761
546	1639	758
547	1641	754
548	1643	751
549	1646	748
550	1648	745
551	1651	741
552	1653	738
553	1656	735
554	1659	732
555	1662	729
556	1665	726
557	1667	723
558	1670	720
559	1673	717
560	1676	714
561	1678	710
562	1681	707
563	1683	704
564	1686	701
565	1688	698
566	1691	695
567	1694	691
568	1696	688
569	1698	685
570	1700	682
571	1703	679
572	1706	675
573	1708	672
574	1711	669
575	1713	666
576	1716	663
577	1718	660
578	1721	657
579	1724	654
580	1727	651
581	1730	648
582	1732	644
583	1735	641
584	1737	638
585	1740	635
586	1742	632
587	1745	629
588	1747	626
589	1750	622
590	1752	619
591	1755	616
592	1757	613
593	1760	610
594	1762	607
595	1765	604
596	1768	601
597	1770	598
598	1773	594
599	1775	591
600	1777	588
601	1780	585
602	1782	582
603	1785	579
604	1787	576
605	1790	573
606	1793	570
607	1795	566
608	1797	563
609	1799	560
610	1802	557
611	1804	554
612	1807	551
613	1809	548
614	1812	545
615	1814	542
616	1816	538
617	1819	535
618	1822	532
619	1825	529
620	1827	526
621	1829	523
622	1832	520
623	1834	517
624	1837	514
625	1839	511
626	1842	508
627	1844	505
628	1847	502
629	1849	499
630	1852	496
631	1854	492
632	1856	489
633	1859	486
634	1861	483
635	1864	480
636	1867	477
637	1869	474
638	1872	471
639	1874	468
640	1877	465
641	1879	462
642	1882	459
643	1885	456
644	1888	453
645	1890	450
646	1893	447
647	1895	444
648	1898	441
649	1900	438
650	1903	435
651	1905	432
652	1908	429
653	1910	426
654	1912	423
655	1915	420
656	1917	417
657	1919	414
658	1922	411
659	1925	408
660	1927	405
661	1929	402
662	1932	399
663	1934	396
664	1937	393
665	1939	390
666	1942	387
667	1944	384
668	1947	381
669	1949	378
670	1952	375
671	1954	372
672	1957	369
673	1960	366
674	1963	363
675	1965	360
676	1968	357
677	1970	354
678	1972	351
679	1975	348
680	1978	345
681	1981	342
682	1983	339
683	1985	336
684	1988	333
685	1990	330
686	1993	327
687	1995	324
688	1998	321
689	2000	318
690	2003	315
691	2005	312
692	2007	310
693	2010	307
694	2012	304
695	2015	301
696	2017	298
697	2020	295
698	2023	292
699	2026	289
700	2029	286
701	2031	283
702	2035	280
703	2037	277
704	2040	274
705	2043	272
706	2046	269
707	2048	266
708	2051	263
709	2054	260
710	2057	257
711	2059	254
712	2062	251
713	2065	248
714	2068	245
715	2072	243
716	2076	240
717	2079	237
718	2082	234
719	2084	231
720	2087	228
721	2090	225
722	2093	222
723	2097	220
724	2100	217
725	2103	214
726	2106	211
727	2110	208
728	2114	205
729	2118	203
