iter	TotalF1	MultiClass
0	0.461249026	1.079141512
1	0.481082094	1.061389167
2	0.5139578354	1.044071206
3	0.4783556945	1.029806501
4	0.4933604802	1.015758387
5	0.4911984491	1.001163037
6	0.4908171531	0.9890346572
7	0.483981031	0.9771210591
8	0.4734745094	0.9668687491
9	0.4701162089	0.9562262872
10	0.4675066394	0.9464783689
11	0.4658805438	0.9364440775
12	0.4681285115	0.9274533827
13	0.4787508009	0.9192949948
14	0.4876024182	0.9106638505
15	0.4912324199	0.9037599939
16	0.5020206506	0.8964490085
17	0.515861353	0.8882567319
18	0.5136811137	0.8810782452
19	0.5098351066	0.8749190067
20	0.5123729617	0.8694987814
21	0.5206195359	0.8636452785
22	0.5149040864	0.8590828806
23	0.5157990891	0.8528932094
24	0.5168475462	0.8476439656
25	0.5223205289	0.843480452
26	0.520211134	0.8386510299
27	0.52087142	0.8345478249
28	0.5271812285	0.8299208885
29	0.5312034359	0.82567417
30	0.5282294539	0.8214453319
31	0.5286057812	0.8171688651
32	0.5282851927	0.8132402029
33	0.5290325139	0.8100830334
34	0.5299694827	0.8064766788
35	0.529300872	0.8032568003
36	0.5305447258	0.79963456
37	0.5380708313	0.7973563381
38	0.5422792853	0.7953702615
39	0.5435762477	0.7926253732
40	0.5437998252	0.7898836641
41	0.5482780776	0.7871650093
42	0.5490125242	0.7849192403
43	0.5478979984	0.7823926172
44	0.5515912809	0.7795223803
45	0.5478308457	0.7772568376
46	0.5581990076	0.7750613124
47	0.5611791331	0.772644191
48	0.5658712638	0.7708150055
49	0.5662112772	0.7685037155
50	0.5715405489	0.7663348903
51	0.582710019	0.7642722181
52	0.5889422002	0.7620146135
53	0.5880279899	0.7605485681
54	0.5965811725	0.7583030664
55	0.5971240946	0.7568204987
56	0.5993394477	0.7553135391
57	0.6015994268	0.754195451
58	0.6002239656	0.7526542208
59	0.6010513023	0.7521409085
60	0.606014407	0.7506593768
61	0.6123102614	0.7490794937
62	0.6147254132	0.7476331145
63	0.618783366	0.7459147145
64	0.6195447609	0.7447971838
65	0.6203377292	0.7433587815
66	0.6236807792	0.7420341943
67	0.6248444092	0.7404183173
68	0.6283260897	0.7393863436
69	0.6295734822	0.7377886804
70	0.6331388464	0.7360071262
71	0.6301936676	0.7349767035
72	0.63319608	0.7336630599
73	0.6334854227	0.7324035793
74	0.6345251309	0.730985891
75	0.6361620798	0.7289380315
76	0.6326462901	0.7274348621
77	0.6357496661	0.7268360064
78	0.6389414613	0.7253000674
79	0.6422804998	0.7242301598
80	0.6457459593	0.7226903026
81	0.6474824236	0.7217998806
82	0.6481032742	0.720932684
83	0.6488216176	0.7198860797
84	0.6481249001	0.7189928805
85	0.6527441486	0.7178749183
86	0.6503548824	0.7172264457
87	0.6505604597	0.7160821532
88	0.6522456282	0.7150315122
89	0.6539951018	0.71359287
90	0.6540153395	0.7132809053
91	0.6550419095	0.7122019337
92	0.6568616122	0.7113780133
93	0.656383987	0.7101979647
94	0.65859922	0.7090802977
95	0.659886743	0.7085842607
96	0.6595944306	0.7082907083
97	0.6619779651	0.7072117475
98	0.6629712971	0.7066616096
99	0.6609104494	0.7065083864
100	0.6615917574	0.7062435511
101	0.6625906986	0.7054623817
102	0.6631754127	0.7048342929
103	0.6620186221	0.7039675334
104	0.6652519004	0.7035743548
105	0.6654595568	0.7026285157
106	0.665927647	0.7017770501
107	0.6647541784	0.7007428457
108	0.6677096626	0.6998943926
109	0.6686798649	0.6993436607
110	0.6668559976	0.6985220264
111	0.665694116	0.6979025972
112	0.6707415687	0.6972993887
113	0.6694099355	0.6965344671
114	0.6720951766	0.6960010049
115	0.6730343276	0.6952576123
116	0.675301511	0.6945362876
117	0.6751232657	0.693281139
118	0.6762713389	0.6926541017
119	0.6773483303	0.6919096921
120	0.6793145037	0.6908510862
121	0.6766520457	0.690106456
122	0.6780437103	0.6892303027
123	0.6776759931	0.6889965645
124	0.6800297652	0.6882807312
125	0.6793754695	0.6876870771
126	0.6800579866	0.6870097545
127	0.678943181	0.6863082626
128	0.6802311598	0.685630543
129	0.6812937322	0.6854747827
