iter	Passed	Remaining
0	59	47273
1	62	25087
2	65	17447
3	68	13647
4	71	11329
5	74	9796
6	77	8766
7	80	7954
8	82	7289
9	85	6782
10	88	6351
11	90	5972
12	93	5677
13	97	5459
14	101	5305
15	105	5157
16	108	4983
17	111	4846
18	114	4722
19	117	4594
20	120	4468
21	123	4375
22	127	4296
23	129	4200
24	132	4112
25	135	4034
26	138	3968
27	141	3912
28	144	3854
29	148	3808
30	151	3750
31	153	3685
32	156	3636
33	159	3596
34	162	3557
35	166	3528
36	169	3488
37	171	3445
38	175	3415
39	177	3381
40	183	3395
41	186	3358
42	189	3330
43	192	3303
44	195	3281
45	198	3251
46	201	3222
47	203	3191
48	207	3176
49	210	3152
50	214	3143
51	216	3121
52	220	3107
53	223	3088
54	226	3067
55	229	3054
56	232	3029
57	235	3011
58	238	2994
59	241	2981
60	245	2971
61	248	2954
62	250	2932
63	253	2920
64	257	2914
65	262	2914
66	264	2897
67	267	2881
68	271	2877
69	275	2870
70	280	2875
71	286	2899
72	290	2893
73	294	2887
74	297	2879
75	301	2868
76	304	2856
77	308	2854
78	312	2852
79	316	2845
80	319	2835
81	322	2825
82	327	2829
83	334	2853
84	343	2889
85	347	2880
86	350	2868
87	354	2867
88	357	2856
89	361	2848
90	363	2832
91	366	2819
92	370	2820
93	374	2814
94	377	2800
95	380	2786
96	382	2775
97	386	2771
98	390	2761
99	392	2747
100	395	2736
101	400	2737
102	404	2736
103	407	2728
104	410	2716
105	413	2705
106	418	2707
107	421	2698
108	425	2697
109	429	2691
110	432	2687
111	436	2679
112	439	2672
113	442	2661
114	444	2649
115	448	2645
116	452	2640
117	455	2632
118	457	2619
119	460	2608
120	463	2598
121	466	2594
122	469	2586
123	472	2575
124	475	2566
125	477	2555
126	482	2556
127	487	2557
128	490	2550
129	493	2542
130	496	2535
131	500	2532
132	503	2525
133	506	2516
134	509	2508
135	512	2500
136	516	2497
137	519	2491
138	522	2485
139	525	2476
140	528	2469
141	531	2464
142	535	2459
143	539	2456
144	542	2450
145	548	2456
146	553	2460
147	565	2490
148	583	2547
149	591	2565
150	599	2577
151	607	2590
152	625	2644
153	634	2662
154	641	2668
155	646	2667
156	651	2668
157	663	2695
158	671	2708
159	675	2703
160	679	2696
161	684	2696
162	690	2699
163	697	2705
164	707	2722
165	710	2714
166	714	2706
167	724	2723
168	732	2736
169	739	2741
170	745	2740
171	752	2748
172	756	2742
173	760	2735
174	764	2732
175	770	2733
176	775	2729
177	780	2725
178	784	2721
179	787	2712
180	790	2704
181	793	2694
182	797	2690
183	801	2681
184	805	2677
185	809	2670
186	814	2668
187	817	2662
188	821	2655
189	824	2647
190	828	2640
191	830	2630
192	833	2621
193	836	2613
194	839	2603
195	841	2593
196	844	2586
197	847	2576
198	850	2567
199	852	2558
200	856	2550
201	859	2545
202	862	2537
203	866	2530
204	869	2522
205	872	2514
206	874	2505
207	877	2497
208	879	2487
209	882	2478
210	885	2472
211	887	2462
212	890	2455
213	894	2449
214	897	2442
215	900	2435
216	903	2427
217	906	2419
218	909	2412
219	911	2404
220	914	2396
221	917	2388
222	920	2380
223	923	2373
224	926	2367
225	930	2362
226	934	2358
227	937	2352
228	941	2347
229	943	2339
230	946	2331
231	949	2323
232	952	2318
233	955	2310
234	958	2303
235	960	2295
236	963	2288
237	967	2284
238	970	2278
239	973	2271
240	976	2264
241	978	2257
242	981	2249
243	984	2242
244	987	2235
245	990	2230
246	993	2224
247	996	2217
248	999	2212
249	1003	2206
250	1006	2202
251	1009	2196
252	1012	2189
253	1015	2183
254	1018	2177
255	1022	2172
256	1025	2166
257	1028	2160
258	1031	2155
259	1034	2149
260	1038	2145
261	1041	2139
262	1044	2132
263	1047	2126
264	1050	2120
265	1053	2114
266	1056	2108
267	1059	2103
268	1063	2098
269	1066	2093
270	1071	2091
271	1076	2089
272	1079	2083
273	1083	2079
274	1085	2072
275	1089	2068
276	1093	2063
277	1095	2057
278	1098	2051
279	1101	2046
280	1105	2042
281	1108	2036
282	1114	2036
283	1117	2030
284	1121	2025
285	1125	2021
286	1130	2020
287	1134	2017
288	1138	2012
289	1141	2006
290	1144	2001
291	1147	1996
292	1150	1990
293	1153	1985
294	1156	1979
295	1158	1973
296	1161	1967
297	1164	1961
298	1166	1955
299	1170	1950
300	1173	1944
301	1176	1939
302	1179	1933
303	1181	1928
304	1184	1922
305	1187	1916
306	1189	1910
307	1192	1904
308	1195	1899
309	1198	1894
310	1201	1888
311	1204	1883
312	1207	1878
313	1210	1873
314	1212	1867
315	1215	1861
316	1218	1856
317	1221	1850
318	1223	1844
319	1226	1839
320	1229	1834
321	1231	1828
322	1234	1822
323	1236	1817
324	1239	1811
325	1242	1806
326	1244	1800
327	1247	1795
328	1250	1790
329	1253	1785
330	1256	1779
331	1259	1775
332	1262	1770
333	1264	1764
334	1267	1759
335	1270	1754
336	1272	1748
337	1276	1744
338	1278	1738
339	1281	1733
340	1284	1728
341	1286	1723
342	1289	1718
343	1292	1713
344	1295	1708
345	1298	1703
346	1301	1699
347	1304	1693
348	1306	1688
349	1309	1684
350	1312	1679
351	1315	1674
352	1318	1669
353	1320	1664
354	1323	1659
355	1326	1654
356	1329	1649
357	1332	1645
358	1335	1640
359	1338	1635
360	1341	1630
361	1343	1625
362	1346	1620
363	1349	1616
364	1352	1612
365	1356	1608
366	1358	1602
367	1361	1598
368	1364	1593
369	1367	1588
370	1371	1585
371	1373	1580
372	1376	1575
373	1379	1571
374	1382	1567
375	1386	1563
376	1412	1585
377	1425	1590
378	1439	1598
379	1443	1595
380	1456	1602
381	1460	1597
382	1462	1592
383	1465	1587
384	1468	1582
385	1471	1577
386	1473	1572
387	1476	1567
388	1479	1562
389	1482	1558
390	1484	1553
391	1487	1548
392	1490	1543
393	1493	1538
394	1495	1533
395	1498	1529
396	1501	1524
397	1503	1519
398	1506	1514
399	1509	1509
400	1512	1504
401	1515	1500
402	1518	1495
403	1520	1490
404	1523	1486
405	1526	1481
406	1528	1476
407	1531	1471
408	1534	1466
409	1537	1462
410	1539	1457
411	1542	1452
412	1545	1447
413	1548	1443
414	1550	1438
415	1553	1434
416	1557	1430
417	1559	1425
418	1563	1421
419	1565	1416
420	1568	1411
421	1571	1407
422	1574	1403
423	1577	1398
424	1579	1394
425	1582	1389
426	1585	1385
427	1588	1380
428	1591	1376
429	1594	1372
430	1597	1367
431	1600	1363
432	1602	1358
433	1605	1353
434	1608	1349
435	1610	1344
436	1614	1340
437	1616	1335
438	1620	1332
439	1623	1328
440	1626	1323
441	1629	1319
442	1632	1315
443	1634	1310
444	1637	1306
445	1640	1302
446	1643	1297
447	1647	1294
448	1656	1294
449	1659	1290
450	1662	1286
451	1665	1282
452	1667	1277
453	1671	1273
454	1676	1271
455	1679	1267
456	1682	1262
457	1685	1258
458	1688	1254
459	1690	1249
460	1693	1245
461	1696	1240
462	1698	1236
463	1701	1231
464	1704	1227
465	1706	1223
466	1708	1218
467	1712	1215
468	1715	1210
469	1717	1206
470	1720	1201
471	1723	1197
472	1726	1193
473	1731	1190
474	1736	1187
475	1738	1183
476	1741	1179
477	1745	1175
478	1748	1171
479	1753	1169
480	1756	1164
481	1759	1161
482	1762	1157
483	1765	1152
484	1768	1148
485	1771	1144
486	1776	1141
487	1778	1137
488	1781	1132
489	1784	1128
490	1786	1124
491	1788	1119
492	1791	1115
493	1795	1111
494	1797	1107
495	1800	1103
496	1802	1099
497	1805	1094
498	1808	1090
499	1811	1086
500	1813	1082
501	1817	1078
502	1819	1074
503	1822	1070
504	1825	1066
505	1827	1062
506	1832	1059
507	1835	1054
508	1837	1050
509	1841	1046
510	1843	1042
511	1846	1038
512	1849	1034
513	1852	1030
514	1855	1026
515	1857	1022
516	1860	1018
517	1863	1014
518	1866	1010
519	1868	1006
520	1871	1002
521	1874	998
522	1876	993
523	1878	989
524	1881	985
525	1884	981
526	1887	977
527	1890	973
528	1892	969
529	1895	965
530	1897	961
531	1900	957
532	1903	953
533	1906	949
534	1908	945
535	1911	941
536	1913	937
537	1916	933
538	1919	929
539	1922	925
540	1924	921
541	1927	917
542	1930	913
543	1932	909
544	1934	905
545	1937	901
546	1939	897
547	1942	893
548	1945	889
549	1948	885
550	1950	881
551	1953	877
552	1955	873
553	1958	869
554	1960	865
555	1963	861
556	1966	857
557	1968	853
558	1971	850
559	1973	845
560	1976	842
561	1979	838
562	1982	834
563	1985	830
564	1988	827
565	1991	823
566	1994	819
567	1997	815
568	2000	812
569	2003	808
570	2005	804
571	2008	800
572	2012	797
573	2015	793
574	2017	789
575	2020	785
576	2023	782
577	2043	784
578	2049	782
579	2052	778
580	2055	774
581	2058	771
582	2062	767
583	2065	763
584	2069	760
585	2072	756
586	2075	753
587	2078	749
588	2082	745
589	2085	742
590	2087	738
591	2091	734
592	2094	731
593	2097	727
594	2100	723
595	2103	719
596	2106	716
597	2109	712
598	2112	708
599	2115	705
600	2118	701
601	2120	697
602	2123	693
603	2126	689
604	2128	686
605	2131	682
606	2134	678
607	2137	674
608	2139	671
609	2142	667
610	2145	663
611	2148	659
612	2151	656
613	2153	652
614	2156	648
615	2159	645
616	2161	641
617	2164	637
618	2168	633
619	2170	630
620	2174	626
621	2176	622
622	2178	619
623	2181	615
624	2184	611
625	2186	607
626	2189	604
627	2192	600
628	2194	596
629	2197	593
630	2200	589
631	2202	585
632	2205	581
633	2207	578
634	2210	574
635	2213	570
636	2216	567
637	2218	563
638	2221	559
639	2223	555
640	2226	552
641	2229	548
642	2231	544
643	2234	541
644	2236	537
645	2239	533
646	2242	530
647	2244	526
648	2247	522
649	2249	519
650	2252	515
651	2255	511
652	2257	508
653	2260	504
654	2263	501
655	2266	497
656	2268	493
657	2271	490
658	2273	486
659	2276	482
660	2279	479
661	2281	475
662	2284	472
663	2287	468
664	2289	464
665	2292	461
666	2295	457
667	2297	454
668	2300	450
669	2302	446
670	2305	443
671	2308	439
672	2310	436
673	2313	432
674	2315	428
675	2318	425
676	2321	421
677	2323	418
678	2326	414
679	2330	411
680	2333	407
681	2335	404
682	2338	400
683	2340	396
684	2343	393
685	2347	390
686	2349	386
687	2352	382
688	2355	379
689	2357	375
690	2360	372
691	2363	368
692	2367	365
693	2371	362
694	2374	358
695	2377	355
696	2379	351
697	2382	348
698	2385	344
699	2388	341
700	2391	337
701	2394	334
702	2396	330
703	2400	327
704	2402	323
705	2406	320
706	2409	317
707	2412	313
708	2415	310
709	2418	306
710	2421	303
711	2424	299
712	2426	296
713	2429	292
714	2432	289
715	2435	285
716	2437	282
717	2440	278
718	2443	275
719	2445	271
720	2447	268
721	2451	264
722	2453	261
723	2456	257
724	2459	254
725	2461	250
726	2464	247
727	2466	243
728	2469	240
729	2472	237
730	2474	233
731	2477	230
732	2480	226
733	2482	223
734	2485	219
735	2488	216
736	2491	212
737	2493	209
738	2496	206
739	2499	202
740	2501	199
741	2504	195
742	2506	192
743	2509	188
744	2511	185
745	2514	182
746	2516	178
747	2519	175
748	2521	171
749	2524	168
750	2527	164
751	2530	161
752	2533	158
753	2535	154
754	2538	151
755	2540	147
756	2542	144
757	2545	141
758	2548	137
759	2550	134
760	2553	130
761	2556	127
762	2558	124
763	2561	120
764	2564	117
765	2566	113
766	2569	110
767	2571	107
768	2574	103
769	2576	100
770	2579	97
771	2582	93
772	2584	90
773	2587	86
774	2590	83
775	2592	80
776	2595	76
777	2597	73
778	2600	70
779	2603	66
780	2606	63
781	2610	60
782	2613	56
783	2615	53
784	2618	50
785	2620	46
786	2623	43
787	2628	40
788	2631	36
789	2634	33
790	2637	30
791	2640	26
792	2642	23
793	2645	19
794	2648	16
795	2651	13
796	2653	9
797	2656	6
798	2659	3
799	2661	0
