feature,importance
has_vehicle_type,0.088655084
is_breakdown_event,0.07465208
event_cause_grouped_vehicle_breakdown,0.059472352
veh_type_grouped_other_rare,0.032705817
police_station_grouped_hal old airport,0.026251862
is_road_condition_event,0.021672357
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_1,0.018546687
cause_peak_interaction_grouped_pot_holes_off_peak,0.016993538
event_cause_corridor_grouped_construction_orr east 2,0.009748495
past_closure_rate_event_cause,0.009198603
is_accident_event,0.008877795
has_construction_word,0.008063109
is_heavy_vehicle,0.007924637
corridor_grouped_hennur main road,0.007912535
event_cause_grouped_accident,0.007617603
cause_peak_interaction_grouped_construction_night,0.0073606484
event_cause_corridor_grouped_pot_holes_non-corridor,0.007275977
corridor_cause_interaction_grouped_non-corridor_public_event,0.006882039
police_station_grouped_hennuru,0.0062208124
police_station_grouped_high ground,0.0059244274
event_cause_corridor_grouped_others_orr north 2,0.0055252826
cause_peak_interaction_grouped_others_morning_peak,0.0054867733
cause_heavy_vehicle_interaction_grouped_accident_heavy_0,0.005118751
is_weekend,0.005086878
event_cause_grouped_construction,0.00485262
zone_cause_interaction_grouped_unknown_public_event,0.0048311567
event_cause_corridor_grouped_others_bellary road 1,0.0046776906
event_cause_grouped_congestion,0.0045843883
cause_peak_interaction_grouped_accident_night,0.004494442
cause_peak_interaction_grouped_construction_morning_peak,0.0044502188
police_station_grouped_j.p. nagar,0.0043267924
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_0,0.0043104403
start_day_name_sunday,0.004292995
veh_type_grouped_bmtc_bus,0.0042542336
zone_cause_interaction_grouped_unknown_water_logging,0.004112545
corridor_cause_interaction_grouped_non-corridor_tree_fall,0.004025543
zone_grouped_south zone 2,0.003972943
zone_grouped_central zone 1,0.0039054141
cause_peak_interaction_grouped_road_conditions_off_peak,0.003888055
cause_heavy_vehicle_interaction_grouped_congestion_heavy_0,0.0038075096
police_station_grouped_electronic city,0.003717733
cause_peak_interaction_grouped_others_off_peak,0.00364123
event_cause_corridor_grouped_water_logging_mysore road,0.0035261072
peak_period_morning_peak,0.0035154482
zone_cause_interaction_grouped_west zone 1_others,0.0034366406
corridor_cause_interaction_grouped_non-corridor_procession,0.0034215439
description_word_count,0.0033794446
police_station_grouped_peenya,0.003366597
police_station_grouped_sadashivanagar,0.0032850218
cause_peak_interaction_grouped_tree_fall_night,0.0032000022
corridor_cause_interaction_grouped_mysore road_vehicle_breakdown,0.0031557658
corridor_grouped_tumkur road,0.003153849
is_weather_or_visibility_event,0.0031201304
description_char_length,0.003075948
veh_type_grouped_private_car,0.0030700327
past_count_event_cause,0.0030682846
event_type_planned,0.0030647132
zone_grouped_central zone 2,0.0030116162
corridor_grouped_orr west 1,0.0029505466
corridor_cause_interaction_grouped_non-corridor_vehicle_breakdown,0.0029201016
event_cause_grouped_road_conditions,0.0029145936
police_station_grouped_whitefield,0.0028759006
longitude,0.002849759
event_cause_grouped_public_event,0.0028306593
has_kannada_text,0.0028077208
event_cause_corridor_grouped_others_tumkur road,0.0028025222
zone_cause_interaction_grouped_unknown_others,0.0027779592
start_day_name_tuesday,0.0027669047
start_month_2024-01,0.002757382
zone_grouped_north zone 1,0.0027468307
police_station_grouped_yeshwanthpura,0.0026926121
event_cause_corridor_grouped_vehicle_breakdown_bellary road 2,0.0026909101
corridor_grouped_mysore road,0.0026859432
event_cause_corridor_grouped_others_non-corridor,0.0026386085
distance_to_city_center_km,0.0026201436
event_cause_corridor_grouped_vehicle_breakdown_tumkur road,0.002618118
zone_cause_interaction_grouped_other_rare,0.0026118697
corridor_peak_interaction_grouped_orr east 1_morning_peak,0.002600523
hour_cos,0.0025765253
truck_age_missing,0.002574223
is_planned_event,0.002573243
past_closure_rate_junction,0.0025253964
corridor_cause_interaction_grouped_orr east 2_construction,0.0025253468
corridor_peak_interaction_grouped_bellary road 2_night,0.0025211025
cause_peak_interaction_grouped_construction_off_peak,0.0025162487
police_station_grouped_basavanagudi,0.0025133388
corridor_peak_interaction_grouped_non-corridor_off_peak,0.002511531
hour_sin,0.002480091
corridor_peak_interaction_grouped_old madras road_night,0.002466916
route_distance_km,0.0024552317
has_jam_word,0.0024507344
start_dayofweek,0.0024256385
has_breakdown_word,0.0024217847
police_station_grouped_jayanagara,0.00241779
police_station_grouped_mico layout,0.0023902603
is_night,0.0023788994
has_location_hint_word,0.0023779552
junction_grouped_other_rare,0.002376441
cause_peak_interaction_grouped_others_night,0.002375229
corridor_peak_interaction_grouped_mysore road_morning_peak,0.0023643814
start_hour,0.0023495958
police_station_grouped_halasuru gate,0.0023458975
corridor_grouped_bellary road 2,0.0023359067
past_count_police_station,0.002334201
event_cause_corridor_grouped_water_logging_non-corridor,0.0023319912
zone_cause_interaction_grouped_north zone 2_others,0.0023260915
is_public_or_vip_event,0.002309839
event_cause_corridor_grouped_vehicle_breakdown_bellary road 1,0.0023066648
cause_peak_interaction_grouped_other_rare,0.0023043836
report_lag_hours_clipped,0.0023025712
event_cause_grouped_others,0.0022927348
report_lag_minutes_clipped,0.0022817543
past_closure_rate_event_cause_corridor,0.0022786492
past_count_junction,0.0022757682
corridor_cause_interaction_grouped_bellary road 2_vehicle_breakdown,0.002259098
has_end_location,0.002249676
event_cause_corridor_grouped_procession_non-corridor,0.002249515
corridor_grouped_hosur road,0.002248186
cause_peak_interaction_grouped_water_logging_off_peak,0.0022405118
corridor_peak_interaction_grouped_magadi road_off_peak,0.0022388746
event_cause_corridor_grouped_vehicle_breakdown_mysore road,0.0022381328
veh_type_grouped_ksrtc_bus,0.002237321
event_cause_grouped_procession,0.0022325453
past_count_zone,0.0022254307
has_vip_word,0.0022109204
police_station_grouped_ashok nagar,0.0022083502
latitude,0.0022056228
corridor_grouped_old airport road,0.0021981618
corridor_grouped_orr north 1,0.002192139
police_station_grouped_halasur,0.00218186
corridor_grouped_bellary road 1,0.0021789328
start_weekofyear,0.0021755835
text_length,0.002166919
corridor_peak_interaction_grouped_mysore road_off_peak,0.0021609874
has_blocked_word,0.0021194606
past_count_event_cause_corridor,0.0021105288
police_station_grouped_chamarajpet,0.0020889456
zone_cause_interaction_grouped_north zone 2_construction,0.0020835206
past_closure_rate_zone,0.0020806906
veh_type_grouped_lcv,0.002070481
past_count_corridor,0.0020670027
police_station_grouped_cubbon park,0.0020667333
past_closure_rate_location_grid,0.0020461066
corridor_peak_interaction_grouped_west of chord road_off_peak,0.002010559
has_non_ascii_text,0.0019994797
zone_grouped_west zone 1,0.0019888927
start_month_2024-03,0.0019799366
police_station_grouped_upparpet,0.0019754174
reporting_delay_minutes,0.0019732323
event_cause_corridor_grouped_other_rare,0.0019709114
corridor_peak_interaction_grouped_other_rare,0.0019525115
past_closure_rate_police_station,0.0019420658
location_grid_grouped_other_rare,0.0019414047
zone_grouped_east zone 2,0.0019357818
event_cause_corridor_grouped_vehicle_breakdown_hosur road,0.0019312372
past_closure_rate_corridor,0.0019300162
has_water_word,0.0019230043
corridor_cause_interaction_grouped_other_rare,0.0019158487
corridor_grouped_orr east 2,0.0019140596
corridor_peak_interaction_grouped_non-corridor_night,0.0019091526
veh_type_grouped_taxi,0.0019015311
start_month_2024-02,0.0019004992
is_bus,0.0018954548
start_day_name_friday,0.0018754421
corridor_grouped_west of chord road,0.0018706521
corridor_peak_interaction_grouped_tumkur road_off_peak,0.0018672328
corridor_grouped_non-corridor,0.0018671823
corridor_grouped_bannerghata road,0.001860273
day_sin,0.001856732
is_peak_hour,0.001852816
police_station_grouped_banashankari,0.0018354076
past_count_location_grid,0.0018278913
police_station_grouped_hebbala,0.0018260495
police_station_grouped_kodigehalli,0.0018255351
has_event_word,0.0018107187
veh_type_grouped_heavy_vehicle,0.001809517
corridor_peak_interaction_grouped_orr east 1_night,0.0017871466
