feature,importance
is_breakdown_event,0.07616986
event_cause_grouped_vehicle_breakdown,0.06790617
has_vehicle_type,0.061875258
police_station_grouped_hal old airport,0.024819812
is_road_condition_event,0.019802945
cause_peak_interaction_grouped_pot_holes_off_peak,0.017355286
veh_type_grouped_other_rare,0.01700721
cause_peak_interaction_grouped_construction_night,0.01332144
corridor_cause_interaction_grouped_orr east 2_construction,0.012009301
past_closure_rate_event_cause,0.010160097
is_accident_event,0.008588189
event_cause_grouped_construction,0.008441592
is_heavy_vehicle,0.008342112
has_construction_word,0.007872472
event_cause_corridor_grouped_public_event_non-corridor,0.0070427507
event_cause_grouped_accident,0.006803619
event_cause_corridor_grouped_construction_orr east 2,0.0067998506
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_1,0.0067457324
corridor_cause_interaction_grouped_non-corridor_public_event,0.0064896555
event_cause_grouped_congestion,0.005927955
corridor_cause_interaction_grouped_orr north 2_others,0.0055996664
cause_peak_interaction_grouped_others_morning_peak,0.005422493
police_station_grouped_hennuru,0.0054140687
police_station_grouped_high ground,0.0051771565
junction_grouped_hebbalflyoverjunc,0.005089704
zone_cause_interaction_grouped_north zone 2_others,0.00483874
cause_peak_interaction_grouped_accident_morning_peak,0.0047590523
event_cause_corridor_grouped_others_bellary road 1,0.004695176
zone_cause_interaction_grouped_west zone 1_others,0.0046666176
corridor_grouped_hennur main road,0.0046635866
cause_peak_interaction_grouped_construction_morning_peak,0.004518224
veh_type_grouped_bmtc_bus,0.004300953
corridor_cause_interaction_grouped_non-corridor_water_logging,0.0040861373
corridor_peak_interaction_grouped_mysore road_night,0.004076195
zone_cause_interaction_grouped_unknown_water_logging,0.004007563
corridor_grouped_tumkur road,0.003996312
event_cause_corridor_grouped_construction_non-corridor,0.003980398
zone_cause_interaction_grouped_other_rare,0.0039726254
police_station_grouped_electronic city,0.0039068838
peak_period_morning_peak,0.0038651242
start_day_name_monday,0.0038066641
description_word_count,0.003732989
cause_peak_interaction_grouped_others_off_peak,0.0036857736
zone_grouped_central zone 1,0.0034962741
is_weather_or_visibility_event,0.0034573681
corridor_grouped_old madras road,0.0034573316
police_station_grouped_j.p. nagar,0.0033737263
cause_heavy_vehicle_interaction_grouped_vehicle_breakdown_heavy_0,0.0033331742
zone_grouped_central zone 2,0.003317139
event_cause_corridor_grouped_water_logging_mysore road,0.0033153277
zone_cause_interaction_grouped_unknown_tree_fall,0.0033148585
event_cause_grouped_others,0.0032835577
start_month_2023-11,0.0032588562
corridor_peak_interaction_grouped_mysore road_off_peak,0.0032362323
event_type_planned,0.0032320989
past_count_event_cause,0.0032309196
zone_cause_interaction_grouped_unknown_others,0.0031843872
cause_heavy_vehicle_interaction_grouped_congestion_heavy_0,0.0031711955
cause_peak_interaction_grouped_tree_fall_morning_peak,0.0031484766
corridor_peak_interaction_grouped_airport new south road_night,0.003113091
start_month_2024-01,0.0031051768
cause_heavy_vehicle_interaction_grouped_accident_heavy_0,0.0031048988
police_station_grouped_peenya,0.0030599388
zone_grouped_other_rare,0.0030281811
longitude,0.003010366
veh_type_grouped_private_car,0.0029644265
zone_cause_interaction_grouped_unknown_accident,0.0029320347
event_cause_corridor_grouped_vehicle_breakdown_bellary road 2,0.0029240188
description_char_length,0.0028885999
event_cause_corridor_grouped_vehicle_breakdown_mysore road,0.002869068
zone_grouped_south zone 2,0.0028522047
is_planned_event,0.0028010234
event_cause_corridor_grouped_procession_non-corridor,0.0027973913
hour_sin,0.00278946
cause_peak_interaction_grouped_tree_fall_night,0.0027725615
corridor_cause_interaction_grouped_non-corridor_procession,0.0027714649
start_day_name_tuesday,0.0027643016
distance_to_city_center_km,0.002750385
has_kannada_text,0.0027382902
event_cause_corridor_grouped_vehicle_breakdown_tumkur road,0.0026813706
corridor_grouped_bellary road 2,0.0026728744
zone_cause_interaction_grouped_central zone 1_construction,0.002640007
hour_cos,0.0026370753
corridor_cause_interaction_grouped_other_rare,0.0026370708
corridor_peak_interaction_grouped_orr east 1_morning_peak,0.0026341781
has_breakdown_word,0.0026231895
zone_cause_interaction_grouped_central zone 2_vehicle_breakdown,0.0026120155
start_dayofweek,0.0025903145
corridor_cause_interaction_grouped_non-corridor_vehicle_breakdown,0.0025859596
reporting_delay_minutes,0.00258437
corridor_grouped_mysore road,0.002582009
event_cause_grouped_road_conditions,0.0025633222
corridor_peak_interaction_grouped_mysore road_morning_peak,0.0025628416
police_station_grouped_jayanagara,0.0025485607
past_closure_rate_junction,0.002531145
corridor_peak_interaction_grouped_west of chord road_night,0.0025046538
has_non_ascii_text,0.0024978772
start_hour,0.002496606
zone_grouped_north zone 1,0.002461819
past_count_junction,0.0024594348
police_station_grouped_whitefield,0.0024519716
corridor_peak_interaction_grouped_bellary road 2_night,0.0024519167
police_station_grouped_halasur,0.0024496492
cause_peak_interaction_grouped_others_night,0.0024472377
start_month_2024-02,0.0024450845
zone_cause_interaction_grouped_east zone 1_vehicle_breakdown,0.0024352237
has_jam_word,0.0024313172
event_cause_corridor_grouped_others_mysore road,0.0024295943
cause_peak_interaction_grouped_water_logging_morning_peak,0.0024271733
is_night,0.0024079992
past_count_zone,0.00239817
peak_period_evening_peak,0.0023973875
police_station_grouped_halasuru gate,0.0023962234
past_count_police_station,0.0023872922
road_closure_probability,0.0023834389
start_weekofyear,0.0023639072
cause_peak_interaction_grouped_vehicle_breakdown_off_peak,0.0023631882
cause_heavy_vehicle_interaction_grouped_pot_holes_heavy_0,0.0023622434
report_lag_minutes_clipped,0.0023421943
start_day_name_sunday,0.0023385552
corridor_peak_interaction_grouped_non-corridor_off_peak,0.0023365824
event_cause_corridor_grouped_road_conditions_non-corridor,0.0023225574
zone_cause_interaction_grouped_north zone 2_construction,0.002321449
start_month_2024-03,0.002318213
event_cause_grouped_procession,0.0022752646
junction_grouped_nagavara-orr junction,0.0022730601
corridor_cause_interaction_grouped_mysore road_vehicle_breakdown,0.0022719335
corridor_cause_interaction_grouped_bellary road 1_vehicle_breakdown,0.0022607513
police_station_grouped_banaswadi,0.002250552
cause_peak_interaction_grouped_accident_night,0.002247408
event_cause_corridor_grouped_other_rare,0.0022355304
event_cause_corridor_grouped_others_non-corridor,0.0022339008
police_station_grouped_kamakshipalya,0.0022240062
police_station_grouped_chamarajpet,0.0022232719
corridor_peak_interaction_grouped_tumkur road_off_peak,0.0022123398
event_cause_corridor_grouped_water_logging_non-corridor,0.0022083663
latitude,0.0022080864
junction_grouped_other_rare,0.0021984782
event_cause_corridor_grouped_tree_fall_non-corridor,0.002198298
past_closure_rate_zone,0.0021970135
corridor_peak_interaction_grouped_non-corridor_morning_peak,0.0021939264
past_closure_rate_event_cause_corridor,0.0021649715
start_day_name_saturday,0.002160408
veh_type_grouped_heavy_vehicle,0.0021553545
event_cause_corridor_grouped_vehicle_breakdown_bellary road 1,0.002153083
cause_peak_interaction_grouped_construction_off_peak,0.0021509796
corridor_grouped_hosur road,0.0021507419
text_length,0.0021427912
report_lag_hours_clipped,0.0021367187
corridor_peak_interaction_grouped_orr east 2_night,0.002123527
past_count_corridor,0.002117804
past_count_event_cause_corridor,0.0021144059
corridor_grouped_west of chord road,0.002110827
corridor_peak_interaction_grouped_west of chord road_off_peak,0.00210873
junction_grouped_kimco junction,0.002105494
police_station_grouped_cubbon park,0.0021022144
cause_heavy_vehicle_interaction_grouped_procession_heavy_0,0.0021003745
corridor_peak_interaction_grouped_other_rare,0.0020983967
has_blocked_word,0.0020956495
veh_type_grouped_ksrtc_bus,0.0020937393
has_location_hint_word,0.0020900958
corridor_grouped_non-corridor,0.0020784235
has_water_word,0.0020468994
police_station_grouped_jeevanbheemanagar,0.002043093
cause_peak_interaction_grouped_vehicle_breakdown_night,0.0020424298
police_station_grouped_jnanabharathi,0.002036065
zone_grouped_west zone 1,0.002030592
corridor_grouped_bellary road 1,0.001996513
zone_cause_interaction_grouped_north zone 2_vehicle_breakdown,0.0019927758
corridor_grouped_orr east 2,0.0019884035
corridor_grouped_orr west 1,0.0019799252
past_closure_rate_police_station,0.001978181
cause_heavy_vehicle_interaction_grouped_road_conditions_heavy_0,0.0019730688
has_vip_word,0.0019653146
past_closure_rate_location_grid,0.001963822
police_station_grouped_adugodi,0.0019497229
corridor_grouped_old airport road,0.0019386612
past_count_location_grid,0.0019359208
is_bus,0.0019279693
cause_peak_interaction_grouped_tree_fall_off_peak,0.0019268366
is_peak_hour,0.0019263794
peak_period_off_peak,0.0019142235
is_weekend,0.0019114623
police_station_grouped_upparpet,0.0019104957
past_closure_rate_corridor,0.0019101808
corridor_peak_interaction_grouped_magadi road_morning_peak,0.0018977822
corridor_peak_interaction_grouped_bellary road 1_night,0.0018966483
zone_cause_interaction_grouped_west zone 1_vehicle_breakdown,0.0018864106
junction_grouped_mekhricircle,0.0018840553
day_sin,0.0018833833
police_station_grouped_mico layout,0.0018817096
police_station_grouped_basavanagudi,0.001874348
police_station_grouped_k.s. layout,0.0018698066
veh_type_grouped_others,0.0018684255
police_station_grouped_ashok nagar,0.001865666
police_station_grouped_yelahanka,0.0018264905
police_station_grouped_yeshwanthpura,0.0018147886
event_cause_corridor_grouped_vehicle_breakdown_non-corridor,0.0018095892
police_station_grouped_banashankari,0.0018005586
start_month_2023-12,0.0017926933
corridor_peak_interaction_grouped_orr west 1_off_peak,0.0017780976
is_truck,0.001777597
police_station_grouped_kodigehalli,0.001752741
corridor_grouped_magadi road,0.0017527269
start_day_name_wednesday,0.0017525959
event_cause_corridor_grouped_vehicle_breakdown_orr east 1,0.0017441834
start_day_name_friday,0.001742038
start_day_name_thursday,0.0017279655
zone_grouped_west zone 2,0.0017180681
corridor_grouped_bannerghata road,0.0017031684
corridor_cause_interaction_grouped_non-corridor_others,0.0016886768
corridor_peak_interaction_grouped_old madras road_morning_peak,0.0016874205
veh_type_grouped_lcv,0.0016873052
police_station_grouped_byatarayanapura,0.001682813
corridor_peak_interaction_grouped_old madras road_night,0.0016819905
zone_cause_interaction_grouped_west zone 2_others,0.0016788759
location_grid_grouped_other_rare,0.001673341
zone_cause_interaction_grouped_east zone 2_vehicle_breakdown,0.001666029
police_station_grouped_madiwala,0.001659995
zone_cause_interaction_grouped_south zone 2_vehicle_breakdown,0.0016490872
veh_type_grouped_taxi,0.0016415105
day_cos,0.0016353225
corridor_grouped_orr east 1,0.0016339805
police_station_grouped_sheshadripuram,0.0016287784
corridor_peak_interaction_grouped_orr north 1_night,0.0015940004
cause_peak_interaction_grouped_procession_morning_peak,0.0015903031
cause_peak_interaction_grouped_vehicle_breakdown_morning_peak,0.001584731
corridor_peak_interaction_grouped_orr east 1_off_peak,0.0015640445
zone_cause_interaction_grouped_north zone 1_construction,0.001563932
is_public_or_vip_event,0.0015449817
corridor_peak_interaction_grouped_orr north 2_night,0.0015158235
junction_grouped_yelhankacircle,0.0015121545
police_station_grouped_mahadevapura,0.0015068378
event_cause_corridor_grouped_accident_non-corridor,0.0015055067
corridor_peak_interaction_grouped_non-corridor_night,0.0014992642
police_station_grouped_malleshwaram,0.0014762424
cause_heavy_vehicle_interaction_grouped_others_heavy_0,0.0014327617
event_cause_grouped_pot_holes,0.0014142509
corridor_grouped_orr north 1,0.0014001484
corridor_peak_interaction_grouped_orr east 1_night,0.0013964468
corridor_peak_interaction_grouped_orr west 1_morning_peak,0.0013904723
corridor_peak_interaction_grouped_cbd 2_night,0.0013861479
corridor_peak_interaction_grouped_tumkur road_night,0.0013830785
has_event_word,0.0013802781
zone_grouped_north zone 2,0.0013783948
veh_type_grouped_private_bus,0.0013757629
police_station_grouped_jalahalli,0.0013741243
zone_grouped_east zone 2,0.001370786
event_cause_corridor_grouped_vehicle_breakdown_magadi road,0.0013698168
zone_cause_interaction_grouped_unknown_vehicle_breakdown,0.0013563671
corridor_peak_interaction_grouped_bellary road 1_morning_peak,0.0013507826
cause_peak_interaction_grouped_water_logging_off_peak,0.0013409907
zone_cause_interaction_grouped_central zone 2_others,0.0013217846
police_station_grouped_rajajinagar,0.0013195087
corridor_peak_interaction_grouped_bellary road 2_off_peak,0.0013194213
corridor_peak_interaction_grouped_bellary road 1_off_peak,0.0013182121
junction_grouped_yeshwanthpuracircle,0.0012903281
corridor_peak_interaction_grouped_hosur road_off_peak,0.0012900546
corridor_peak_interaction_grouped_tumkur road_morning_peak,0.001276976
police_station_grouped_bellandur,0.0012719228
corridor_peak_interaction_grouped_bellary road 2_morning_peak,0.0012706303
event_cause_corridor_grouped_vehicle_breakdown_west of chord road,0.0012531298
zone_cause_interaction_grouped_west zone 2_vehicle_breakdown,0.0012064838
corridor_peak_interaction_grouped_magadi road_night,0.001204963
zone_cause_interaction_grouped_east zone 2_others,0.0011923366
corridor_peak_interaction_grouped_old airport road_morning_peak,0.0011897869
police_station_grouped_magadi road,0.001183003
zone_cause_interaction_grouped_south zone 1_vehicle_breakdown,0.0011539445
corridor_cause_interaction_grouped_west of chord road_vehicle_breakdown,0.001152197
cause_peak_interaction_grouped_other_rare,0.001143345
corridor_cause_interaction_grouped_bellary road 1_others,0.0011097441
zone_cause_interaction_grouped_unknown_construction,0.0011055657
corridor_peak_interaction_grouped_orr north 2_morning_peak,0.0010891086
junction_grouped_sattelitebusstandjunc,0.0010803341
zone_grouped_south zone 1,0.0010657009
event_cause_corridor_grouped_vehicle_breakdown_hosur road,0.0010573668
junction_grouped_toll gate mysore road,0.0010506811
corridor_cause_interaction_grouped_old madras road_vehicle_breakdown,0.0010460292
corridor_grouped_varthur road,0.0009779705
zone_cause_interaction_grouped_north zone 1_vehicle_breakdown,0.00094685593
event_cause_grouped_water_logging,0.0009375096
event_cause_corridor_grouped_vehicle_breakdown_varthur road,0.00093225733
police_station_grouped_sadashivanagar,0.0009303445
corridor_peak_interaction_grouped_orr north 1_morning_peak,0.0009276059
police_station_grouped_wilson garden,0.00092267484
corridor_peak_interaction_grouped_magadi road_off_peak,0.0008983726
location_grid_grouped_13.014_77.584,0.0008288319
