feature,importance
has_vehicle_type,0.045811757
corridor_orr_east_2,0.044261783
event_cause_corridor_construction_orr_east_2,0.037628677
vehicle_cause_interaction_unknown_pot_holes,0.02277054
cause_peak_interaction_construction_night,0.021912452
is_breakdown_event,0.019008625
corridor_peak_interaction_orr_east_2_night,0.018543314
past_duration_rate_short_event_cause,0.017927365
police_station_hal_old_airport,0.016974948
past_duration_q75_event_cause,0.014124651
event_cause_congestion,0.011097334
past_closure_rate_event_cause,0.010565485
event_cause_vehicle_breakdown,0.010386722
is_planned_event,0.009059863
cause_heavy_vehicle_interaction_pot_holes_heavy_0,0.008390652
has_construction_word,0.008162284
corridor_peak_interaction_orr_west_1_morning_peak,0.007820524
corridor_cause_interaction_orr_west_1_water_logging,0.0065282863
cause_hour_interaction_others_0_0,0.0061679245
past_duration_rate_very_long_event_cause_corridor,0.0058464655
past_duration_rate_long_event_cause,0.005694186
has_event_word,0.0056926943
cause_hour_interaction_others_2_0,0.005461169
is_road_condition_event,0.005459131
past_duration_median_event_cause,0.005383907
police_station_j_p_nagar,0.0051438645
event_type_planned,0.005104636
past_duration_q25_event_cause,0.004787741
event_cause_pot_holes,0.0047641722
cause_hour_interaction_procession_5_0,0.0047638044
cause_heavy_vehicle_interaction_vehicle_breakdown_heavy_1,0.004691861
event_cause_water_logging,0.004537459
cause_peak_interaction_water_logging_morning_peak,0.0044418
event_cause_corridor_water_logging_orr_west_1,0.004399176
event_cause_corridor_construction_bellary_road_1,0.004288808
police_station_kodigehalli,0.0040283976
cause_hour_interaction_water_logging_11_0,0.0039866865
event_cause_others,0.0039019042
zone_cause_interaction_north_zone_2_others,0.0038934976
zone_cause_interaction_east_zone_1_pot_holes,0.0038752654
junction_maratahallibridgejunc,0.0037489086
corridor_cause_interaction_bellary_road_2_water_logging,0.003735525
event_cause_corridor_others_orr_north_2,0.0036819282
planned_peak_interaction_planned_evening_peak,0.0036586593
cause_hour_interaction_pot_holes_6_0,0.0036505081
cargo_vehicle_interaction_unknown_bmtc_bus,0.003625181
