feature,importance
is_breakdown_event,0.06995971
past_duration_q75_event_cause,0.060594756
has_vehicle_type,0.05991298
past_duration_rate_short_event_cause,0.044440612
has_construction_word,0.03993946
is_accident_event,0.024050362
is_planned_event,0.023742165
past_closure_rate_event_cause,0.021955626
past_duration_rate_long_event_cause,0.01791148
past_duration_rate_long_event_cause_corridor,0.01769557
past_duration_median_event_cause,0.017534869
past_duration_q25_event_cause,0.015546285
is_road_condition_event,0.015134771
past_duration_rate_very_long_event_cause_corridor,0.0131063
past_closure_count_event_cause,0.010996966
is_heavy_vehicle,0.009666254
is_morning_peak,0.0089351265
longitude,0.00803053
past_duration_count_location_grid,0.007543609
past_duration_rate_long_corridor,0.007457037
past_duration_count_event_cause,0.006663828
past_closure_global_count,0.006506428
past_duration_count_junction,0.0063192802
has_event_word,0.006206224
past_duration_rate_medium_corridor,0.0061474433
past_closure_rate_junction,0.0060745124
past_duration_rate_very_long_event_cause,0.006060992
past_count_event_cause,0.0060021183
has_non_ascii_text,0.0059643565
past_closure_count_junction,0.0058927294
past_duration_rate_very_long_location_grid,0.005824439
start_weekofyear,0.005746789
past_duration_rate_short_location_grid,0.0056045507
past_duration_rate_short_event_cause_corridor,0.0054909308
past_duration_global_rate_medium,0.0054716873
hour_sin,0.005417469
past_closure_count_police_station,0.0053036264
past_duration_count_zone,0.005241553
past_duration_q25_location_grid,0.0052290596
past_duration_count_corridor,0.0051589133
past_duration_count_police_station,0.0051513566
past_duration_q25_event_cause_corridor,0.0051154285
description_char_length,0.0050994945
lon_round_3,0.0050772745
past_duration_global_q75,0.0050693406
distance_to_city_center_km,0.005066818
past_duration_rate_medium_event_cause,0.005064483
past_duration_q75_corridor,0.00504285
past_duration_median_event_cause_corridor,0.0049800226
past_duration_q75_junction,0.004969834
is_public_or_vip_event,0.004950408
past_duration_count_event_cause_corridor,0.0049258233
past_duration_rate_medium_zone,0.0049147983
past_duration_rate_very_long_zone,0.0049129035
description_word_count,0.004853903
day_sin,0.0048087854
past_closure_rate_police_station,0.004779558
past_duration_median_police_station,0.0047792816
past_duration_q75_zone,0.0047521596
past_duration_median_corridor,0.0047191503
past_duration_q25_corridor,0.004705747
past_duration_rate_long_zone,0.004688272
past_duration_rate_short_police_station,0.004680914
past_closure_count_event_cause_corridor,0.0046620946
past_count_event_cause_corridor,0.0046502063
past_count_corridor,0.0046428093
past_duration_rate_very_long_corridor,0.0046386947
is_bus,0.0046232943
past_closure_rate_corridor,0.0046135387
past_duration_global_rate_short,0.004592915
past_duration_q75_location_grid,0.0045374855
past_duration_rate_short_corridor,0.004513809
past_duration_q75_event_cause_corridor,0.0044933506
past_duration_global_count,0.004491591
past_duration_rate_long_location_grid,0.0044881483
past_duration_rate_long_junction,0.0044783563
past_duration_global_median,0.0044659036
past_closure_rate_location_grid,0.0044363537
road_closure_probability,0.004422645
past_closure_rate_zone,0.0044200774
past_duration_rate_very_long_police_station,0.0043994286
past_duration_global_rate_long,0.0043982794
text_length,0.0043868236
past_duration_rate_medium_location_grid,0.004380799
past_duration_rate_very_long_junction,0.004375267
start_hour,0.004346867
report_lag_hours_clipped,0.0043402924
has_location_hint_word,0.0043230997
is_weather_or_visibility_event,0.004317442
past_duration_q75_police_station,0.004316258
latitude,0.0043044
report_lag_minutes_clipped,0.0042977454
has_breakdown_word,0.0042769625
past_duration_rate_medium_junction,0.00426006
past_count_police_station,0.004258122
past_duration_rate_medium_event_cause_corridor,0.004237569
has_water_word,0.004223326
past_count_zone,0.0041315355
past_count_junction,0.0040679495
past_duration_q25_zone,0.0040655434
past_count_location_grid,0.0040386347
past_duration_rate_long_police_station,0.0040364387
hour_cos,0.004011758
past_closure_rate_event_cause_corridor,0.0040017627
past_duration_rate_short_junction,0.0039915754
description_missing,0.0039893016
has_blocked_word,0.0039678006
past_closure_count_corridor,0.0039450624
past_duration_global_rate_very_long,0.00392824
start_dayofweek,0.003923281
lat_round_3,0.003880648
past_duration_median_zone,0.0038708732
past_duration_median_location_grid,0.0038628574
past_duration_q25_police_station,0.003810907
past_closure_global_rate,0.003781282
past_duration_rate_medium_police_station,0.0037783578
past_duration_q25_junction,0.0036997378
day_cos,0.0035957897
past_duration_median_junction,0.003579083
past_closure_count_zone,0.0035397976
has_jam_word,0.0035384563
has_accident_word,0.003533837
past_duration_rate_short_zone,0.0034159818
past_duration_global_q25,0.0032951627
is_weekend,0.0032604637
has_vip_word,0.0031809672
past_closure_count_location_grid,0.0030209203
start_month_number,0.0028543817
is_peak_hour,0.0027943547
is_truck,0.0026264016
is_night,0.0024329345
has_kannada_text,0.0023439154
is_evening_peak,0.0
weather_zone_interaction,0.0
corridor_peak_interaction,0.0
planned_peak_interaction,0.0
cause_heavy_vehicle_interaction,0.0
cause_hour_interaction,0.0
cargo_vehicle_interaction,0.0
corridor_cause_interaction,0.0
corridor,0.0
event_type,0.0
event_cause,0.0
veh_type,0.0
zone,0.0
police_station,0.0
vehicle_cause_interaction,0.0
junction,0.0
location_grid,0.0
peak_period,0.0
start_day_name,0.0
start_month_name,0.0
event_cause_corridor,0.0
cause_peak_interaction,0.0
zone_cause_interaction,0.0
road_closure_probability_is_history_fallback,0.0
