id,event_type,event_cause,corridor,junction,police_station,zone,road_closure_probability,predicted_duration_band,risk_level,risk_score,manpower,barricading,diversion,equipment,agency_alerts,hotspot_level,hotspot_score,actual_duration_band,target_road_closure,latitude,longitude,start_datetime,description,duration_band,is_peak_hour,valid_duration_label,prob_duration_long,prob_duration_medium,prob_duration_short,total_events,closure_rate,control_room,primary_trigger,playbook_json
FKID000001,unplanned,vehicle_breakdown,orr east 1,unknown,hsr layout,unknown,0.4795563,short,medium,46.95,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,14.55,short,0,12.9218755,77.6451585,2024-01-30 04:07:24.173000+00:00,Starting problem,short,1,1,0.009359264358224186,0.19447554315651103,0.7961651924852647,20,0.15,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 46.95, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000004,unplanned,vehicle_breakdown,non-corridor,lalbaghmaingatejunc,wilson garden,unknown,0.69269943,short,medium,47.7,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,1.75,short,0,12.95398,77.5852333,2024-01-30 04:56:32.348000+00:00,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,short,0,1,0.0,0.2371781672737979,0.7628218327262021,5,0.0,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 47.7, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000018,unplanned,tree_fall,non-corridor,unknown,jayanagara,unknown,0.9253494,long,critical,100.0,8+ officers + inspector oversight + 3 patrol units,Full barricade deployment and protected emergency lane.,Activate full diversion plan and public advisory immediately.,"barricades, portable signage, reflective jackets, traffic cones, tree clearance crew","BBMP tree clearance, control room, traffic police",high,43.04615384615385,long,0,12.9233517,77.5904883,2024-03-07 19:39:29.764000+00:00,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,long,0,1,0.6428881022089858,0.2085051507728784,0.14860674701813584,130,0.1076923076923077,Dedicated control-room monitoring until clearance.,tree_fall,"{""risk_level"": ""critical"", ""risk_score"": 100.0, ""manpower"": ""8+ officers + inspector oversight + 3 patrol units"", ""barricading"": ""Full barricade deployment and protected emergency lane."", ""diversion"": ""Activate full diversion plan and public advisory immediately."", ""control_room"": ""Dedicated control-room monitoring until clearance."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones"", ""tree clearance crew""], ""agency_alerts"": [""BBMP tree clearance"", ""control room"", ""traffic police""], ""primary_trigger"": ""tree_fall""}"
FKID000020,unplanned,vehicle_breakdown,hosur road,unknown,madiwala,unknown,0.24817112,short,medium,33.12,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,19.83478260869565,short,0,12.9071221,77.6286395,2024-03-07 19:25:04.302000+00:00,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,short,0,1,0.0,0.32829192526661355,0.6717080747333865,46,0.06521739130434782,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 33.12, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
FKID000025,unplanned,tree_fall,non-corridor,unknown,wilson garden,unknown,0.95493853,medium,critical,89.62,8+ officers + inspector oversight + 3 patrol units,Full barricade deployment and protected emergency lane.,Activate full diversion plan and public advisory immediately.,"barricades, portable signage, reflective jackets, traffic cones, tree clearance crew","BBMP tree clearance, traffic police",medium,28.833333333333336,long,1,12.9463911,77.597326,2024-03-07 06:09:19.361000+00:00,no,long,0,1,0.12271529426523471,0.5048267306701743,0.372457975064591,54,0.18518518518518517,Dedicated control-room monitoring until clearance.,tree_fall,"{""risk_level"": ""critical"", ""risk_score"": 89.62, ""manpower"": ""8+ officers + inspector oversight + 3 patrol units"", ""barricading"": ""Full barricade deployment and protected emergency lane."", ""diversion"": ""Activate full diversion plan and public advisory immediately."", ""control_room"": ""Dedicated control-room monitoring until clearance."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones"", ""tree clearance crew""], ""agency_alerts"": [""BBMP tree clearance"", ""traffic police""], ""primary_trigger"": ""tree_fall""}"
FKID000028,unplanned,pot_holes,unknown,unknown,hal old airport,unknown,0.27636042,short,low,20.54,1 patrol unit,No barricading by default; keep cones ready if lane obstruction grows.,No diversion. Monitor junction approach roads.,"reflective jackets, traffic cones",traffic police,low,0.35,short,0,12.9635109,77.6642122,2024-01-30 08:25:57.212000+00:00,A,short,0,1,0.3693421178821093,0.2519316377148319,0.37872624440305896,1,0.0,Log and monitor.,default,"{""risk_level"": ""low"", ""risk_score"": 20.54, ""manpower"": ""1 patrol unit"", ""barricading"": ""No barricading by default; keep cones ready if lane obstruction grows."", ""diversion"": ""No diversion. Monitor junction approach roads."", ""control_room"": ""Log and monitor."", ""equipment"": [""reflective jackets"", ""traffic cones""], ""agency_alerts"": [""traffic police""], ""primary_trigger"": ""default""}"
FKID000040,planned,construction,orr east 1,unknown,hal old airport,unknown,0.85415375,short,high,69.96,4-6 officers + 2 patrol units,Barricade readiness at affected arm and upstream junction.,Activate partial diversion and push advisory to nearby corridors.,"barricades, portable signage, reflective cones, reflective jackets, traffic cones, warning signage","road works contractor, traffic police",high,35.066853932584266,short,0,12.946469,77.6986754,2024-01-30 11:31:12.848000+00:00,[LOCATION] works going on sir,short,1,1,0.4117864964438333,0.09038016533691395,0.4978333382192528,89,0.033707865168539325,Control-room loop with field updates every 10 minutes.,construction,"{""risk_level"": ""high"", ""risk_score"": 69.96, ""manpower"": ""4-6 officers + 2 patrol units"", ""barricading"": ""Barricade readiness at affected arm and upstream junction."", ""diversion"": ""Activate partial diversion and push advisory to nearby corridors."", ""control_room"": ""Control-room loop with field updates every 10 minutes."", ""equipment"": [""barricades"", ""portable signage"", ""reflective cones"", ""reflective jackets"", ""traffic cones"", ""warning signage""], ""agency_alerts"": [""road works contractor"", ""traffic police""], ""primary_trigger"": ""construction""}"
FKID000041,unplanned,others,bellary road 1,unknown,high ground,unknown,0.80726177,medium,high,69.55,4-6 officers + 2 patrol units,Barricade readiness at affected arm and upstream junction.,Activate partial diversion and push advisory to nearby corridors.,"barricades, portable signage, reflective jackets, traffic cones",traffic police,high,37.40217391304347,medium,1,12.9936273,77.5844677,2024-03-07 20:20:31.140000+00:00,Near cm office [PERSON] towards B02 junction sir,medium,0,1,0.16346037244485195,0.6109726956144084,0.22556693194073899,92,0.09782608695652174,Control-room loop with field updates every 10 minutes.,default,"{""risk_level"": ""high"", ""risk_score"": 69.55, ""manpower"": ""4-6 officers + 2 patrol units"", ""barricading"": ""Barricade readiness at affected arm and upstream junction."", ""diversion"": ""Activate partial diversion and push advisory to nearby corridors."", ""control_room"": ""Control-room loop with field updates every 10 minutes."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones""], ""agency_alerts"": [""traffic police""], ""primary_trigger"": ""default""}"
FKID000047,unplanned,others,tumkur road,unknown,yeshwanthpura,unknown,0.5736272,medium,high,59.81,4-6 officers + 2 patrol units,Barricade readiness at affected arm and upstream junction.,Activate partial diversion and push advisory to nearby corridors.,"barricades, portable signage, reflective jackets, traffic cones",traffic police,high,42.41503759398496,medium,0,13.0262806,77.5442344,2024-03-07 20:27:15.443000+00:00,mei signal off due to power Problem,medium,0,1,0.29791283905941474,0.5854199910536908,0.11666716988689446,133,0.022556390977443608,Control-room loop with field updates every 10 minutes.,default,"{""risk_level"": ""high"", ""risk_score"": 59.81, ""manpower"": ""4-6 officers + 2 patrol units"", ""barricading"": ""Barricade readiness at affected arm and upstream junction."", ""diversion"": ""Activate partial diversion and push advisory to nearby corridors."", ""control_room"": ""Control-room loop with field updates every 10 minutes."", ""equipment"": [""barricades"", ""portable signage"", ""reflective jackets"", ""traffic cones""], ""agency_alerts"": [""traffic police""], ""primary_trigger"": ""default""}"
FKID000049,unplanned,vehicle_breakdown,orr east 1,unknown,bellandur,unknown,0.24061133,short,medium,32.71,2 officers + 1 patrol unit,Local channelization with cones/signage near incident point.,Prepare local diversion if queue spills to adjacent junction.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",medium,19.612499999999997,short,0,12.9188682,77.6687736,2024-01-30 21:27:52.454000+00:00,BMTC buss off -road due to break down..fire station jn towards [LOCATION],short,0,1,0.011612097474731114,0.23274702537518951,0.7556408771500792,48,0.0625,Notify station control and monitor every 15 minutes.,vehicle_breakdown,"{""risk_level"": ""medium"", ""risk_score"": 32.71, ""manpower"": ""2 officers + 1 patrol unit"", ""barricading"": ""Local channelization with cones/signage near incident point."", ""diversion"": ""Prepare local diversion if queue spills to adjacent junction."", ""control_room"": ""Notify station control and monitor every 15 minutes."", ""equipment"": [""clearance crew"", ""reflective jackets"", ""tow van"", ""traffic cones""], ""agency_alerts"": [""traffic police"", ""traffic police tow unit""], ""primary_trigger"": ""vehicle_breakdown""}"
