id,event_cause,corridor,junction,police_station,closure_risk_probability,predicted_duration_band,risk_level,risk_score,manpower,diversion,equipment,agency_alerts,hotspot_level,hotspot_score,actual_duration_band,_source_row,event_type,zone,latitude,longitude,start_datetime,duration_band,is_peak_hour,has_blocked_word,prob_duration_long,prob_duration_medium,prob_duration_short,prob_duration_very_long,total_events,avg_closure_risk,primary_trigger
FKID005760,others,non-corridor,d'souzacircle,ashok nagar,1.0,medium,high,71.28,4-6 officers + 2 patrol units,Activate partial diversion and advisory.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",low,14.281698712888076,medium,5760,unplanned,central zone 1,12.9668967,77.610555,2023-11-09 19:24:48.154000+00:00,medium,0,0,0.0065812375,0.72154725,0.029814372,0.24205714,3,0.38233424893965934,default
FKID005197,water_logging,non-corridor,unknown,jayanagara,0.25373376623376626,very_long,critical,89.68,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones, water pump support","BBMP/BWSSB, control room, traffic police",medium,27.539382663824732,very_long,5197,unplanned,south zone 1,12.9217733,77.585775,2023-11-09 20:51:36.296000+00:00,very_long,0,1,0.003343443,0.10696419,0.0135953175,0.876097,38,0.08398236182356375,water_logging
FKID005765,others,mysore road,townhalljunction,halasuru gate,0.13988868274582555,very_long,critical,60.21,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",low,6.377021480153573,very_long,5765,unplanned,central zone 2,12.9647158,77.5839903,2023-11-09 22:10:51.914000+00:00,very_long,0,0,0.0029355688,0.13937007,0.024351254,0.83334315,9,0.07934347086153065,default
FKID005767,vehicle_breakdown,non-corridor,shivashankara circle,v.v.puram (c.pet),0.1042929292929293,medium,medium,35.8,2 officers + 1 patrol unit,Prepare local diversion if queue spills.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,3.6888235774348925,medium,5767,unplanned,central zone 2,12.9581237,77.5739029,2023-11-09 22:35:52.555000+00:00,medium,0,0,0.005745871,0.85125077,0.02760766,0.11539573,2,0.08825210221242549,vehicle_breakdown
FKID005770,vehicle_breakdown,mysore road,toll gate mysore road,chamarajpet,0.06844583987441126,short,low,20.64,1 patrol unit,Monitor; no diversion by default.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,5.186862043708899,short,5770,unplanned,central zone 2,12.9576503,77.55271,2023-11-10 00:31:14.562000+00:00,short,0,0,0.011671737,0.09905254,0.7358556,0.15342014,6,0.07105320124882568,vehicle_breakdown
FKID005771,others,old airport road,isro junction-airport rd,jeevanbheemanagar,0.06536231884057965,very_long,critical,56.46,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",low,5.053887271375069,very_long,5771,unplanned,central zone 1,12.9591732,77.6571489,2023-11-10 00:56:37.499000+00:00,very_long,0,0,0.007226427,0.044603404,0.08978563,0.8583846,3,0.06725392203928769,default
FKID005198,vehicle_breakdown,orr north 1,unknown,hebbala,0.06631944444444443,medium,medium,36.04,2 officers + 1 patrol unit,Prepare local diversion if queue spills.,"clearance crew, reflective jackets, tow van, traffic cones","traffic police, traffic police tow unit",low,10.194024984086468,medium,5198,unplanned,north zone 1,13.0432983,77.6079367,2023-11-10 01:22:07.058000+00:00,medium,0,0,0.022135505,0.6365292,0.1503902,0.1909451,19,0.07697214240247047,vehicle_breakdown
FKID005772,others,tumkur road,tatainstitutecircle,sadashivanagar,0.05487012987012984,very_long,critical,56.2,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",low,5.77371776076173,very_long,5772,unplanned,west zone 2,13.0141225,77.5660043,2023-11-10 01:33:08.127000+00:00,very_long,0,0,0.0025572362,0.046394955,0.025279516,0.9257683,5,0.070677650307478,default
FKID005773,others,tumkur road,tatainstitutecircle,sadashivanagar,0.0497716293368467,very_long,critical,55.97,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",low,5.77371776076173,very_long,5773,unplanned,west zone 2,13.0141018,77.56591,2023-11-10 01:34:33.186000+00:00,very_long,0,0,0.003535979,0.05183423,0.033388104,0.91124165,5,0.070677650307478,default
FKID004401,road_conditions,non-corridor,unknown,whitefield,0.05405555555555555,very_long,critical,66.04,8+ officers + inspector oversight + 3 patrol units,Activate full diversion and control-room loop.,"barricades, portable signage, reflective jackets, traffic cones","control room, traffic police",high,38.69633272952179,very_long,4401,unplanned,east zone 1,12.9400211,77.7473129,2023-11-10 02:16:04.710000+00:00,very_long,0,0,0.014896713,0.005169568,0.029347535,0.95058614,62,0.07703807798633697,default
